epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.15037,1.52997,3.3043,1.66801,0.0076,0.74582,0.42112,0.32687,1.10027,2.74478,1.18233,0.0002858,0.0002858,0.0002858
2,9.75924,1.32558,2.05514,1.42313,0.20733,0.72018,0.62406,0.48307,1.16061,2.68533,1.29567,0.00058531,0.00058531,0.00058531
3,14.3832,1.38808,1.88774,1.45242,0.69868,0.34343,0.6307,0.45367,1.28899,2.31039,1.46022,0.000884226,0.000884226,0.000884226
4,18.9967,1.33034,1.77107,1.42711,0.69427,0.52524,0.54787,0.3685,1.3758,2.3062,1.48726,0.00118255,0.00118255,0.00118255
5,23.5855,1.3334,1.76082,1.42837,0.66543,0.40083,0.45935,0.33858,1.28243,2.34644,1.36633,0.00142334,0.00142334,0.00142334
6,28.231,1.23177,1.56935,1.37609,0.55263,0.43201,0.46728,0.30575,1.36977,2.7583,1.43859,0.00142193,0.00142193,0.00142193
7,32.8696,1.30752,1.62973,1.43074,0.40207,0.42159,0.37622,0.25042,1.35114,2.68955,1.55414,0.00142051,0.00142051,0.00142051
8,37.5084,1.21361,1.47572,1.33723,0.70295,0.67788,0.66936,0.48368,1.24762,1.83652,1.48574,0.0014191,0.0014191,0.0014191
9,42.1799,1.18245,1.42869,1.33175,0.77059,0.80444,0.761,0.54442,1.12715,1.20296,1.30204,0.00141768,0.00141768,0.00141768
10,46.8641,1.18619,1.39927,1.31669,0.57898,0.7586,0.6531,0.46161,1.25299,1.61769,1.50794,0.00141627,0.00141627,0.00141627
11,51.5455,1.17131,1.3935,1.31796,0.63396,0.73384,0.76046,0.6036,0.94526,1.09282,1.16062,0.00141485,0.00141485,0.00141485
12,56.2698,1.13168,1.26773,1.28741,0.86175,0.78298,0.82499,0.59507,1.00836,1.03696,1.25404,0.00141344,0.00141344,0.00141344
13,61.2173,1.13526,1.29861,1.29669,0.73322,0.85601,0.78531,0.59376,1.01795,0.85716,1.25526,0.00141202,0.00141202,0.00141202
14,65.895,1.11858,1.22771,1.26818,0.74572,0.86957,0.80898,0.58821,1.00253,0.84634,1.18937,0.00141061,0.00141061,0.00141061
15,70.5682,1.08995,1.16767,1.26532,0.84988,0.85437,0.85141,0.59717,1.10993,0.86997,1.29649,0.00140919,0.00140919,0.00140919
16,75.2484,1.06209,1.13844,1.24782,0.80412,0.84213,0.77127,0.58161,0.99651,0.98318,1.24143,0.00140778,0.00140778,0.00140778
17,79.9134,1.05456,1.1168,1.26087,0.87445,0.91304,0.88451,0.64998,0.98453,0.80247,1.19455,0.00140636,0.00140636,0.00140636
18,84.5961,1.04616,1.07633,1.23367,0.78399,0.91066,0.88552,0.6958,0.84383,0.72229,1.09396,0.00140495,0.00140495,0.00140495
19,89.2917,1.04328,1.06308,1.23585,0.76813,0.90323,0.88466,0.61586,1.02835,0.84155,1.25999,0.00140354,0.00140354,0.00140354
20,93.9553,1.03889,1.03515,1.22538,0.81669,0.82848,0.83133,0.62977,0.96943,0.93829,1.16225,0.00140212,0.00140212,0.00140212
21,98.6221,1.04784,1.05721,1.23375,0.92125,0.84931,0.92544,0.69389,0.91833,0.6811,1.15182,0.00140071,0.00140071,0.00140071
22,103.325,0.99421,0.99882,1.20959,0.89422,0.91895,0.8958,0.66085,0.92681,0.67641,1.194,0.00139929,0.00139929,0.00139929
23,108.014,1.00081,1.02295,1.2031,0.9039,0.84565,0.87271,0.68733,0.81989,0.74736,1.11656,0.00139788,0.00139788,0.00139788
24,112.93,1.02132,1.03457,1.24458,0.88754,0.9087,0.92042,0.69897,0.92295,0.6907,1.17551,0.00139646,0.00139646,0.00139646
25,117.613,1.00523,1.04994,1.2381,0.91178,0.83248,0.94183,0.72472,0.86948,0.76044,1.14875,0.00139505,0.00139505,0.00139505
26,122.325,0.96463,0.93703,1.20309,0.76073,0.84725,0.85743,0.6575,0.89876,0.87435,1.1532,0.00139363,0.00139363,0.00139363
27,127,0.95727,0.93174,1.17344,0.7532,0.89066,0.8344,0.6804,0.81312,0.74504,1.10217,0.00139222,0.00139222,0.00139222
