epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78431,1.72297,3.65898,1.91352,0.00675,0.62424,0.27861,0.20844,1.09737,3.25403,1.40804,0.00011432,0.00011432,0.00011432
2,4.97957,1.34598,2.85546,1.54449,0.00765,0.78485,0.39178,0.31687,1.04006,2.86692,1.19626,0.000242689,0.000242689,0.000242689
3,7.14851,1.28965,2.06398,1.4422,0.01147,0.84848,0.61025,0.45335,1.26254,2.76089,1.31847,0.000370804,0.000370804,0.000370804
4,9.3106,1.3381,1.8469,1.47333,1,0.29821,0.59371,0.45741,1.15374,2.82347,1.28774,0.000498665,0.000498665,0.000498665
5,11.5173,1.27541,1.71667,1.41147,0.96235,0.26102,0.64476,0.4668,1.19493,2.70782,1.37742,0.00062627,0.00062627,0.00062627
6,13.6743,1.29153,1.75213,1.45902,1,0.15924,0.63375,0.49054,1.08047,2.69962,1.31312,0.000753621,0.000753621,0.000753621
7,15.8072,1.31486,1.74039,1.44976,0.64724,0.30086,0.67307,0.50111,1.1315,2.29671,1.34253,0.000880717,0.000880717,0.000880717
8,17.923,1.20822,1.60088,1.38203,0.68769,0.4303,0.63124,0.45266,1.15945,2.05045,1.31562,0.00100756,0.00100756,0.00100756
9,20.0326,1.23189,1.63107,1.41431,0.609,0.41851,0.48797,0.36625,1.25557,2.68064,1.51569,0.00113415,0.00113415,0.00113415
10,22.1475,1.20505,1.55368,1.37378,0.48448,0.49094,0.382,0.28346,1.31789,2.71061,1.50814,0.00126048,0.00126048,0.00126048
11,24.2718,1.21996,1.49768,1.37652,0.37623,0.41178,0.44832,0.28336,1.37918,2.37776,1.54185,0.00138656,0.00138656,0.00138656
12,26.5645,1.16376,1.44254,1.33747,0.66364,0.64456,0.64096,0.47071,1.22822,2.00731,1.39625,0.00141344,0.00141344,0.00141344
13,28.7061,1.13928,1.42426,1.32971,0.77479,0.79563,0.78968,0.58483,1.10546,1.56984,1.28766,0.00141202,0.00141202,0.00141202
14,30.7727,1.20302,1.41244,1.38997,0.65107,0.62356,0.66765,0.46645,1.21157,2.32212,1.44081,0.00141061,0.00141061,0.00141061
15,32.7643,1.14565,1.43486,1.36902,0.49439,0.54976,0.54178,0.404,1.24383,2.26218,1.45906,0.00140919,0.00140919,0.00140919
16,34.7038,1.16133,1.35064,1.34416,0.58971,0.57649,0.5587,0.42656,1.16537,1.95531,1.46392,0.00140778,0.00140778,0.00140778
17,36.6338,1.14963,1.31493,1.32911,0.59929,0.58182,0.59713,0.44571,1.24813,1.98811,1.43623,0.00140636,0.00140636,0.00140636
18,38.5673,1.17605,1.31153,1.34363,0.61945,0.68084,0.60447,0.44636,1.14224,2.15102,1.32797,0.00140495,0.00140495,0.00140495
19,40.4998,1.06046,1.25924,1.30063,0.62467,0.64572,0.60404,0.44941,1.06466,2.09565,1.30069,0.00140354,0.00140354,0.00140354
20,42.4388,1.05768,1.23585,1.28304,0.85208,0.5946,0.74574,0.54756,0.96531,1.45346,1.19608,0.00140212,0.00140212,0.00140212
21,44.3714,1.11011,1.21228,1.30508,0.80252,0.65463,0.78766,0.55989,1.04479,1.28187,1.29443,0.00140071,0.00140071,0.00140071
22,46.2952,1.19476,1.34107,1.37033,0.72283,0.71818,0.78518,0.6028,0.97123,1.3658,1.22686,0.00139929,0.00139929,0.00139929
23,48.2478,1.07292,1.15995,1.2722,0.63991,0.73421,0.69147,0.55506,1.07375,1.34491,1.27946,0.00139788,0.00139788,0.00139788
24,50.1898,1.07401,1.15946,1.31111,0.84725,0.71613,0.77252,0.60391,1.08676,1.0997,1.32832,0.00139646,0.00139646,0.00139646
25,52.1264,1.15416,1.22976,1.34894,0.63649,0.74644,0.78032,0.59644,1.00811,1.20225,1.22882,0.00139505,0.00139505,0.00139505
26,54.2483,1.05572,1.19351,1.29229,0.76523,0.69394,0.7405,0.59335,0.95197,1.04167,1.18876,0.00139363,0.00139363,0.00139363
27,56.185,1.04656,1.10399,1.2646,0.84931,0.81515,0.85382,0.63727,0.96553,0.89152,1.20719,0.00139222,0.00139222,0.00139222
28,58.1426,1.06505,1.14603,1.29018,0.83081,0.92549,0.91157,0.71867,0.87145,0.79679,1.16042,0.0013908,0.0013908,0.0013908
29,60.0963,1.0719,1.15268,1.2805,0.77549,0.81322,0.84032,0.64157,0.92214,0.92965,1.19915,0.00138939,0.00138939,0.00138939
30,62.0387,0.99393,1.04679,1.21407,0.77006,0.69394,0.75951,0.60513,0.90302,0.92597,1.18268,0.00138797,0.00138797,0.00138797
31,63.9807,1.02269,1.11126,1.22129,0.76748,0.74573,0.77815,0.59823,0.94686,1.02555,1.20611,0.00138656,0.00138656,0.00138656
32,65.9291,1.03978,1.11583,1.27824,0.82564,0.81515,0.89674,0.61597,0.99213,0.82626,1.24816,0.00138514,0.00138514,0.00138514
33,67.8638,0.96274,0.95605,1.1862,0.81575,0.78572,0.85573,0.64704,0.90034,0.75145,1.18714,0.00138373,0.00138373,0.00138373
34,69.8035,0.99481,0.9859,1.2451,0.79708,0.78062,0.8367,0.64625,0.95211,0.81459,1.23351,0.00138231,0.00138231,0.00138231
35,71.7417,1.00028,1.01057,1.21382,0.89332,0.81459,0.8973,0.69776,0.86241,0.80688,1.18453,0.0013809,0.0013809,0.0013809
36,73.6944,1.03732,1.09145,1.25665,0.71507,0.80897,0.85226,0.66965,0.87801,1.02121,1.15735,0.00137949,0.00137949,0.00137949
37,75.6283,1.00097,1.02759,1.23495,0.78299,0.87576,0.82954,0.6625,0.81717,0.74978,1.11127,0.00137807,0.00137807,0.00137807
38,77.5694,0.95497,0.96498,1.20596,0.92224,0.86691,0.90564,0.69825,0.76458,0.73324,1.08608,0.00137666,0.00137666,0.00137666
39,79.521,0.9826,0.99935,1.24648,0.85107,0.87172,0.89677,0.74524,0.78459,0.71862,1.10584,0.00137524,0.00137524,0.00137524
40,81.6713,0.99674,0.97736,1.22126,0.68688,0.92014,0.83392,0.66655,0.84977,0.86466,1.16051,0.00137383,0.00137383,0.00137383
41,83.611,0.98299,0.97359,1.24263,0.82918,0.87488,0.92058,0.67617,0.98172,0.8488,1.25961,0.00137241,0.00137241,0.00137241
42,85.5554,0.98787,0.91426,1.22888,0.84927,0.90606,0.91996,0.67774,0.96094,0.77303,1.22675,0.001371,0.001371,0.001371
43,87.4946,0.95289,0.92713,1.20275,0.78826,0.81515,0.86713,0.6364,0.8874,0.85762,1.17809,0.00136958,0.00136958,0.00136958
44,89.438,0.94896,0.9632,1.20528,0.88067,0.78485,0.88097,0.6805,0.86647,0.79643,1.15858,0.00136817,0.00136817,0.00136817
45,91.3819,0.92283,0.89393,1.17481,0.8539,0.84353,0.87059,0.68138,0.85816,0.74299,1.15533,0.00136675,0.00136675,0.00136675
46,93.3241,0.97209,0.92692,1.23185,0.81504,0.90606,0.89761,0.69672,0.92385,0.78733,1.16402,0.00136534,0.00136534,0.00136534
47,95.262,0.99347,0.95321,1.22001,0.76724,0.88959,0.8626,0.66173,0.8747,0.85809,1.14722,0.00136392,0.00136392,0.00136392
48,97.2171,0.95502,0.87432,1.17959,0.90625,0.84545,0.88214,0.68278,0.85958,0.70809,1.14224,0.00136251,0.00136251,0.00136251
49,99.155,0.93979,0.86435,1.17908,0.89351,0.84627,0.89133,0.6967,0.82765,0.69316,1.12287,0.00136109,0.00136109,0.00136109
50,101.101,0.94019,0.88859,1.17321,0.8895,0.75455,0.79538,0.64369,0.84902,0.84984,1.12811,0.00135968,0.00135968,0.00135968
51,103.083,0.92335,0.89244,1.18871,0.92401,0.69394,0.76267,0.61635,0.90881,0.97211,1.20411,0.00135826,0.00135826,0.00135826
52,105.241,0.87961,0.84273,1.16461,0.95298,0.76426,0.87982,0.70514,0.82041,0.75989,1.11434,0.00135685,0.00135685,0.00135685
53,107.175,0.87234,0.81004,1.17392,0.90609,0.83111,0.84461,0.65701,0.91218,0.83164,1.17432,0.00135544,0.00135544,0.00135544
54,109.116,0.90632,0.85055,1.18357,0.86322,0.81515,0.80818,0.60411,0.99629,0.8367,1.26389,0.00135402,0.00135402,0.00135402
55,111.055,0.89469,0.8891,1.17272,0.85984,0.84545,0.85115,0.65409,0.84604,0.79871,1.13944,0.00135261,0.00135261,0.00135261
56,113.008,0.90287,0.86805,1.15893,0.96894,0.86463,0.90519,0.72117,0.76766,0.75504,1.05749,0.00135119,0.00135119,0.00135119
57,114.95,0.92706,0.84317,1.19494,0.78649,0.82385,0.88641,0.64928,0.85435,0.89309,1.11153,0.00134978,0.00134978,0.00134978
58,116.892,0.89893,0.81271,1.1759,0.92636,0.86829,0.91182,0.67437,0.83356,0.7363,1.15179,0.00134836,0.00134836,0.00134836
59,118.834,0.87065,0.80888,1.17176,0.86628,0.87576,0.89492,0.64737,0.94182,0.73423,1.21663,0.00134695,0.00134695,0.00134695
60,120.794,0.90381,0.8179,1.1752,0.87777,0.91341,0.90948,0.69198,0.87544,0.63947,1.15885,0.00134553,0.00134553,0.00134553
61,122.737,0.87701,0.76355,1.17136,0.91191,0.93636,0.91976,0.71455,0.83805,0.61538,1.12758,0.00134412,0.00134412,0.00134412
62,124.86,0.83572,0.71772,1.12163,0.84846,0.8987,0.87864,0.71284,0.81652,0.63083,1.09636,0.0013427,0.0013427,0.0013427
