epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3971,1.53526,2.56468,1.69707,0.71561,0.70667,0.69789,0.55027,1.09264,1.36756,1.36005,0.00037154,0.00037154,0.00037154
2,22.8247,1.33944,1.51024,1.44693,0.54473,0.5247,0.45784,0.31526,1.38892,3.16425,1.67397,0.00075662,0.00075662,0.00075662
3,34.2288,1.31491,1.37683,1.44835,0.54615,0.62108,0.54427,0.38805,1.33095,4.28511,1.60665,0.00114094,0.00114094,0.00114094
4,45.6628,1.31272,1.39433,1.43121,0.51993,0.52952,0.55112,0.37232,1.41368,2.25752,1.64276,0.00142476,0.00142476,0.00142476
5,57.0828,1.2758,1.26865,1.38678,0.7327,0.54255,0.65838,0.49536,1.21169,1.32766,1.59369,0.00142334,0.00142334,0.00142334
6,68.4926,1.25741,1.19897,1.36015,0.54291,0.5771,0.58658,0.39575,1.32414,1.94716,1.50284,0.00142193,0.00142193,0.00142193
7,79.8558,1.2573,1.17427,1.37325,0.63195,0.50035,0.64145,0.437,1.18719,1.30217,1.42424,0.00142051,0.00142051,0.00142051
8,91.2302,1.2036,1.13564,1.35423,0.74188,0.60857,0.69465,0.51594,1.21783,1.12694,1.37184,0.0014191,0.0014191,0.0014191
9,102.609,1.22713,1.12718,1.3621,0.7399,0.64353,0.67648,0.51727,1.16391,0.9278,1.45443,0.00141768,0.00141768,0.00141768
10,114.114,1.17426,1.13255,1.3322,0.67699,0.7481,0.6957,0.52859,1.12379,0.85979,1.40017,0.00141627,0.00141627,0.00141627
11,125.602,1.15248,1.0554,1.31398,0.70052,0.68051,0.78968,0.59171,1.10108,1.42705,1.34728,0.00141485,0.00141485,0.00141485
12,137.263,1.12523,1.02266,1.29017,0.87669,0.69845,0.76697,0.60175,0.92929,1.00106,1.22903,0.00141344,0.00141344,0.00141344
13,148.771,1.12958,0.99767,1.28998,0.75159,0.82384,0.81392,0.61491,0.98509,0.84128,1.28374,0.00141202,0.00141202,0.00141202
14,160.304,1.12129,1.0129,1.29312,0.57695,0.7599,0.70251,0.55649,0.94783,0.9092,1.20816,0.00141061,0.00141061,0.00141061
15,171.874,1.07715,0.99542,1.2555,0.81023,0.75411,0.7755,0.61788,0.93977,0.8682,1.22583,0.00140919,0.00140919,0.00140919
16,183.633,1.10681,0.97715,1.27088,0.78198,0.89333,0.79477,0.62011,0.9583,0.75007,1.2235,0.00140778,0.00140778,0.00140778
17,195.148,1.07805,0.96841,1.2488,0.78897,0.84286,0.81081,0.6119,1.03833,0.7732,1.24754,0.00140636,0.00140636,0.00140636
18,206.637,1.06985,0.96978,1.26319,0.8514,0.91571,0.90357,0.7177,0.79684,0.61519,1.13228,0.00140495,0.00140495,0.00140495
19,218.181,1.05372,0.97704,1.24398,0.82486,0.82836,0.8708,0.72584,0.7525,0.66966,1.0996,0.00140354,0.00140354,0.00140354
20,229.725,1.03797,0.93544,1.24993,0.783,0.86247,0.78394,0.6088,0.93157,0.72777,1.18779,0.00140212,0.00140212,0.00140212
21,241.132,1.02464,0.9155,1.23659,0.79649,0.81025,0.83421,0.66745,0.85716,0.6849,1.14493,0.00140071,0.00140071,0.00140071
22,252.517,1.01522,0.90838,1.24059,0.82232,0.81762,0.8523,0.68828,0.7764,0.67752,1.10203,0.00139929,0.00139929,0.00139929
23,263.918,1.0213,0.90494,1.22347,0.83955,0.93384,0.84702,0.68719,0.7331,0.61916,1.1062,0.00139788,0.00139788,0.00139788
24,275.344,1.01263,0.92414,1.21467,0.88933,0.90161,0.90573,0.67965,0.86904,0.61056,1.17216,0.00139646,0.00139646,0.00139646
25,286.751,1.01119,0.90514,1.21756,0.90985,0.9481,0.95488,0.71694,0.83,0.58353,1.11937,0.00139505,0.00139505,0.00139505
26,298.308,1.00739,0.89751,1.21908,0.80569,0.8799,0.84221,0.67247,0.83491,0.65687,1.14195,0.00139363,0.00139363,0.00139363
27,309.797,0.97519,0.88258,1.18634,0.82552,0.86667,0.8424,0.67274,0.83355,0.70582,1.1498,0.00139222,0.00139222,0.00139222
28,321.269,0.98314,0.89274,1.20193,0.77177,0.92,0.87791,0.66952,0.83433,0.64201,1.15434,0.0013908,0.0013908,0.0013908
29,332.686,0.98552,0.84831,1.19868,0.8971,0.89333,0.92648,0.71463,0.8183,0.58595,1.12623,0.00138939,0.00138939,0.00138939
30,344.161,0.98218,0.88243,1.21058,0.89162,0.94667,0.91565,0.75214,0.72702,0.55899,1.06927,0.00138797,0.00138797,0.00138797
31,355.711,0.94355,0.84727,1.19438,0.91509,0.90667,0.91423,0.7454,0.74044,0.56575,1.09742,0.00138656,0.00138656,0.00138656
32,367.153,0.9303,0.79483,1.17362,0.94424,0.94708,0.94634,0.71997,0.91414,0.58993,1.16809,0.00138514,0.00138514,0.00138514
33,378.616,0.90947,0.80248,1.17252,0.9584,0.92286,0.96103,0.75346,0.79741,0.53582,1.09849,0.00138373,0.00138373,0.00138373
34,390.16,0.94252,0.80882,1.1665,0.9056,0.91878,0.93508,0.73902,0.77527,0.55489,1.08605,0.00138231,0.00138231,0.00138231
35,401.663,0.91819,0.80475,1.17475,0.92153,0.91945,0.91985,0.7526,0.74191,0.56408,1.08966,0.0013809,0.0013809,0.0013809
36,413.195,0.92814,0.80538,1.18068,0.83535,0.94372,0.91363,0.72721,0.79222,0.60189,1.11421,0.00137949,0.00137949,0.00137949
37,424.672,0.94515,0.82219,1.19518,0.91321,0.93333,0.94149,0.74623,0.80168,0.54625,1.11648,0.00137807,0.00137807,0.00137807
38,436.155,0.90714,0.7877,1.1559,0.91642,0.93173,0.94522,0.77076,0.71972,0.54831,1.07954,0.00137666,0.00137666,0.00137666
39,447.718,0.93659,0.82248,1.18445,0.87798,0.85934,0.91627,0.73478,0.77502,0.59716,1.10527,0.00137524,0.00137524,0.00137524
40,459.203,0.90046,0.78985,1.14632,0.95703,0.88,0.94849,0.76985,0.77012,0.51854,1.09853,0.00137383,0.00137383,0.00137383
41,470.755,0.89703,0.80369,1.15571,0.97743,0.89333,0.95535,0.75188,0.72807,0.48722,1.06245,0.00137241,0.00137241,0.00137241
42,482.206,0.88017,0.77375,1.1485,0.92321,0.89288,0.94565,0.78545,0.72344,0.50346,1.0665,0.001371,0.001371,0.001371
