epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.88923,1.72517,3.6951,1.91044,0.00406,0.53902,0.14064,0.10709,1.20273,3.46668,1.4747,0.00012861,0.00012861,0.00012861
2,5.27793,1.39223,2.80628,1.52547,0.00609,0.81629,0.3548,0.26775,1.10228,2.91154,1.19069,0.000271241,0.000271241,0.000271241
3,7.6443,1.2914,2.16744,1.43083,0.00523,0.72348,0.54663,0.3971,1.29212,2.89277,1.30629,0.000413589,0.000413589,0.000413589
4,10.0517,1.28036,1.90492,1.41378,1,0.25093,0.59421,0.4736,1.24628,2.62268,1.33986,0.000555655,0.000555655,0.000555655
5,12.4311,1.27606,1.81482,1.40585,0.98704,0.23612,0.51087,0.35572,1.38382,2.64273,1.54966,0.000697437,0.000697437,0.000697437
6,14.773,1.26795,1.71702,1.40106,0.55651,0.32666,0.57803,0.39148,1.21543,2.36907,1.37967,0.000838937,0.000838937,0.000838937
7,17.1255,1.26184,1.64747,1.41782,0.90278,0.25822,0.47197,0.34647,1.28544,2.57251,1.41784,0.000980153,0.000980153,0.000980153
8,19.4821,1.26922,1.63254,1.3667,0.75494,0.41412,0.5945,0.36922,1.34959,2.40012,1.49869,0.00112109,0.00112109,0.00112109
9,21.8486,1.21432,1.56388,1.34906,0.45812,0.37545,0.47287,0.30421,1.41642,2.25752,1.48674,0.00126174,0.00126174,0.00126174
10,24.2048,1.20794,1.51664,1.33423,0.4735,0.38336,0.38894,0.16488,1.93502,2.4783,1.92317,0.0014021,0.0014021,0.0014021
11,26.5578,1.25523,1.50144,1.37639,0.68309,0.38537,0.43856,0.27433,1.53225,2.37629,1.50207,0.00141485,0.00141485,0.00141485
12,28.918,1.2241,1.5726,1.3538,0.24088,0.375,0.34143,0.24405,1.26948,3.48899,1.3263,0.00141344,0.00141344,0.00141344
13,31.5108,1.19989,1.4915,1.34712,0.58915,0.4303,0.50165,0.36723,1.33336,2.12301,1.36164,0.00141202,0.00141202,0.00141202
14,33.8685,1.13518,1.39712,1.27309,0.56802,0.60772,0.60721,0.40636,1.24952,2.2878,1.30438,0.00141061,0.00141061,0.00141061
15,36.2545,1.16565,1.36844,1.29548,0.45706,0.72251,0.53277,0.38659,1.34876,3.19878,1.40429,0.00140919,0.00140919,0.00140919
16,38.6197,1.11547,1.34193,1.27484,0.66027,0.65455,0.61719,0.39366,1.37354,2.21361,1.39496,0.00140778,0.00140778,0.00140778
17,40.9709,1.0934,1.25307,1.26851,0.73521,0.72359,0.76877,0.55298,1.06687,1.27665,1.17445,0.00140636,0.00140636,0.00140636
18,43.3577,1.18489,1.30178,1.33107,0.67634,0.72121,0.79627,0.57451,1.17059,1.16037,1.26213,0.00140495,0.00140495,0.00140495
19,45.7657,1.19649,1.28965,1.3014,0.81493,0.74827,0.80703,0.54789,1.23083,1.16378,1.29288,0.00140354,0.00140354,0.00140354
20,48.1425,1.15684,1.31513,1.32877,0.70527,0.78788,0.75501,0.55132,1.14997,1.10069,1.25514,0.00140212,0.00140212,0.00140212
21,50.4949,1.18596,1.33732,1.31411,0.98219,0.7864,0.85306,0.5899,1.0503,1.06264,1.18064,0.00140071,0.00140071,0.00140071
22,52.9711,1.07479,1.22569,1.26741,0.77578,0.75008,0.767,0.53314,1.04166,1.04455,1.176,0.00139929,0.00139929,0.00139929
23,55.3285,1.08364,1.16842,1.24934,0.7892,0.80059,0.827,0.55785,1.07756,1.04938,1.1886,0.00139788,0.00139788,0.00139788
24,57.6987,1.06637,1.12016,1.22736,0.77791,0.77383,0.81561,0.57433,1.04668,1.05494,1.19583,0.00139646,0.00139646,0.00139646
25,60.0555,1.06576,1.14989,1.2352,0.86967,0.78485,0.83115,0.66036,0.87382,0.9226,1.07086,0.00139505,0.00139505,0.00139505
26,62.5857,1.03689,1.12775,1.22233,0.8439,0.81596,0.84627,0.61719,0.98146,0.98224,1.14219,0.00139363,0.00139363,0.00139363
27,64.945,1.0774,1.11876,1.22861,0.95937,0.78485,0.88084,0.66019,0.92587,0.83598,1.10998,0.00139222,0.00139222,0.00139222
28,67.6207,1.01175,1.05728,1.19924,0.936,0.81515,0.89656,0.64501,0.93566,0.77933,1.13782,0.0013908,0.0013908,0.0013908
29,70.0052,1.02707,1.05075,1.21589,0.75973,0.78773,0.79832,0.59687,0.94192,0.83985,1.13442,0.00138939,0.00138939,0.00138939
30,72.3697,1.08356,1.15961,1.26604,0.70905,0.67614,0.75825,0.60161,0.9534,0.99527,1.16405,0.00138797,0.00138797,0.00138797
31,74.7292,1.05605,1.09966,1.23642,0.74046,0.75758,0.77098,0.59509,0.95952,0.84045,1.10792,0.00138656,0.00138656,0.00138656
32,77.1073,1.01967,1.04516,1.19831,0.73644,0.90909,0.89857,0.64957,0.95286,0.79814,1.10959,0.00138514,0.00138514,0.00138514
33,79.5514,0.9998,1.04456,1.24312,0.73252,0.87879,0.83406,0.60547,0.99646,0.85214,1.16605,0.00138373,0.00138373,0.00138373
34,81.9242,1.07951,1.11405,1.27019,0.84137,0.89125,0.88186,0.61283,1.0201,0.88829,1.16478,0.00138231,0.00138231,0.00138231
35,84.2842,1.0122,1.03716,1.22076,0.72843,0.76705,0.79189,0.60542,0.95462,0.95914,1.11267,0.0013809,0.0013809,0.0013809
36,86.6642,1.0068,1.01529,1.23096,0.77402,0.8109,0.83642,0.6379,0.95779,1.13051,1.13313,0.00137949,0.00137949,0.00137949
37,89.0261,1.03038,1.04709,1.21278,0.93225,0.81759,0.89805,0.6867,0.87279,0.99266,1.06432,0.00137807,0.00137807,0.00137807
38,91.4425,0.95701,0.94108,1.15508,0.78481,0.78485,0.84659,0.67214,0.88589,0.83507,1.07293,0.00137666,0.00137666,0.00137666
39,93.8241,0.92392,0.90479,1.15935,0.88113,0.78485,0.79936,0.61759,0.9284,0.86037,1.09425,0.00137524,0.00137524,0.00137524
40,96.2039,0.94726,0.90206,1.17679,0.91052,0.84545,0.86255,0.67655,0.86674,0.75016,1.0762,0.00137383,0.00137383,0.00137383
41,98.8107,0.93465,0.87396,1.14219,0.94273,0.87576,0.92405,0.66649,0.80832,0.70149,1.06432,0.00137241,0.00137241,0.00137241
42,101.181,1.02006,0.89473,1.19796,0.86122,0.90606,0.8912,0.65423,0.87523,0.79262,1.09502,0.001371,0.001371,0.001371
43,103.544,0.95717,0.85798,1.18017,0.93271,0.87576,0.92804,0.68723,0.88015,0.65532,1.09798,0.00136958,0.00136958,0.00136958
44,105.926,0.90852,0.82744,1.15976,0.90833,0.90606,0.92412,0.7033,0.88045,0.6919,1.08053,0.00136817,0.00136817,0.00136817
45,108.308,0.98395,0.89183,1.18402,0.86956,0.87576,0.90596,0.68133,0.8852,0.71183,1.06249,0.00136675,0.00136675,0.00136675
46,110.682,1.01062,0.90987,1.20543,0.94016,0.89587,0.9232,0.74215,0.87844,0.697,1.06664,0.00136534,0.00136534,0.00136534
47,113.064,0.93912,0.8486,1.16297,0.93985,0.87576,0.91948,0.73757,0.86984,0.72232,1.06487,0.00136392,0.00136392,0.00136392
48,115.447,0.91299,0.82256,1.17325,0.91756,0.84436,0.8831,0.68433,0.84671,0.67216,1.05301,0.00136251,0.00136251,0.00136251
49,117.815,0.92328,0.8569,1.16614,0.91369,0.90606,0.92656,0.69069,0.89433,0.63467,1.08738,0.00136109,0.00136109,0.00136109
50,120.274,0.93936,0.87721,1.1913,0.9149,0.90606,0.91877,0.69874,0.86632,0.67552,1.07343,0.00135968,0.00135968,0.00135968
51,122.64,0.96184,0.85311,1.18023,0.867,0.90112,0.89891,0.69031,0.86115,0.77028,1.09223,0.00135826,0.00135826,0.00135826
52,125.023,0.89857,0.81312,1.15193,0.93298,0.77472,0.87804,0.6495,1.0109,0.87333,1.17219,0.00135685,0.00135685,0.00135685
53,127.395,0.92557,0.79903,1.15401,0.79983,0.80751,0.8635,0.60292,1.07251,0.87911,1.19384,0.00135544,0.00135544,0.00135544
54,129.983,0.93824,0.8275,1.15394,0.89676,0.87245,0.90121,0.67188,0.85663,0.71324,1.05909,0.00135402,0.00135402,0.00135402
55,132.345,0.9492,0.84443,1.17735,0.87476,0.90324,0.88687,0.70071,0.84933,0.68292,1.06068,0.00135261,0.00135261,0.00135261
56,134.731,0.89381,0.79686,1.13719,0.94348,0.86836,0.92368,0.71209,0.87379,0.66471,1.08256,0.00135119,0.00135119,0.00135119
57,137.093,0.87898,0.76357,1.13596,0.91061,0.87576,0.92364,0.71717,0.78934,0.63746,1.04624,0.00134978,0.00134978,0.00134978
58,139.468,0.91011,0.82819,1.16275,0.8649,0.90909,0.92842,0.71918,0.81699,0.56386,1.06392,0.00134836,0.00134836,0.00134836
59,141.828,0.93032,0.83558,1.17548,0.89637,0.86423,0.9031,0.65047,1.00921,0.66097,1.1886,0.00134695,0.00134695,0.00134695
60,144.2,0.92028,0.80616,1.17983,0.92326,0.81985,0.87963,0.63973,0.9259,0.70451,1.12465,0.00134553,0.00134553,0.00134553
61,146.562,0.88677,0.7965,1.1299,0.91496,0.84545,0.90169,0.66766,0.94865,0.68952,1.113,0.00134412,0.00134412,0.00134412
62,148.929,0.90614,0.79686,1.15869,0.97823,0.89677,0.9182,0.63379,0.98048,0.69497,1.14858,0.0013427,0.0013427,0.0013427
63,151.298,0.96709,0.79659,1.16061,0.90863,0.90606,0.92438,0.6787,0.91417,0.6437,1.12663,0.00134129,0.00134129,0.00134129
64,153.683,0.94998,0.76774,1.16431,0.84299,0.9339,0.921,0.67277,0.87605,0.64773,1.11306,0.00133987,0.00133987,0.00133987
65,156.052,0.83335,0.74925,1.10863,0.90787,0.84545,0.89606,0.65704,0.93797,0.68266,1.13971,0.00133846,0.00133846,0.00133846
66,158.465,0.88167,0.74343,1.1344,0.94085,0.84242,0.91771,0.6798,0.90661,0.62142,1.1097,0.00133704,0.00133704,0.00133704
