epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3439,1.56853,2.40383,1.67828,0.53253,0.64321,0.6471,0.48994,1.10861,1.88494,1.24592,0.000462724,0.000462724,0.000462724
2,36.2632,1.36865,1.45166,1.50414,0.6433,0.58912,0.62519,0.41604,1.91467,2.12563,1.8031,0.000938127,0.000938127,0.000938127
3,51.3538,1.40324,1.43331,1.52481,0.36509,0.46753,0.32795,0.24964,1.73108,5.27298,1.72509,0.00141259,0.00141259,0.00141259
4,65.9388,1.31111,1.27516,1.4394,0.69816,0.63636,0.69009,0.48606,1.25145,2.4659,1.43117,0.00142476,0.00142476,0.00142476
5,80.5302,1.24432,1.16275,1.40689,0.65817,0.63095,0.67292,0.49532,1.02697,1.31466,1.29605,0.00142334,0.00142334,0.00142334
6,95.1069,1.22854,1.16298,1.41193,0.64627,0.82143,0.69882,0.51885,0.94468,1.82449,1.29084,0.00142193,0.00142193,0.00142193
7,109.715,1.27509,1.1674,1.42381,0.79666,0.80952,0.80369,0.57408,0.97803,1.22246,1.2319,0.00142051,0.00142051,0.00142051
8,124.267,1.20136,1.1351,1.3895,0.99103,0.63897,0.77444,0.56639,1.16979,1.02479,1.2521,0.0014191,0.0014191,0.0014191
9,138.725,1.17566,1.11191,1.35261,0.67571,0.78571,0.72692,0.56334,1.20897,1.10273,1.26433,0.00141768,0.00141768,0.00141768
10,153.205,1.16042,1.06245,1.34142,0.65676,0.85845,0.77679,0.6021,0.92758,1.15985,1.15537,0.00141627,0.00141627,0.00141627
11,167.75,1.15985,1.07364,1.35255,0.68494,0.9181,0.75313,0.59314,1.15609,1.18744,1.27259,0.00141485,0.00141485,0.00141485
12,182.234,1.12916,1.03815,1.3205,0.88826,0.76564,0.87397,0.62334,1.07315,0.97802,1.19748,0.00141344,0.00141344,0.00141344
13,196.754,1.12856,1.04132,1.3165,0.73494,0.87972,0.82268,0.63134,1.04024,0.79924,1.141,0.00141202,0.00141202,0.00141202
14,211.305,1.09519,0.98821,1.2896,0.79567,0.80333,0.81426,0.60247,1.04139,0.88229,1.17688,0.00141061,0.00141061,0.00141061
15,225.775,1.0705,1.0012,1.28836,0.70019,0.82143,0.76538,0.59492,1.02456,1.17078,1.25387,0.00140919,0.00140919,0.00140919
16,240.265,1.07145,0.99983,1.30267,0.74959,0.83333,0.80763,0.62491,1.02123,0.69445,1.1726,0.00140778,0.00140778,0.00140778
17,254.745,1.10313,1.00054,1.31785,0.93008,0.92362,0.90253,0.65404,0.94849,1.16162,1.17203,0.00140636,0.00140636,0.00140636
18,269.337,1.08659,0.98957,1.28836,0.69386,0.80952,0.76599,0.56877,1.23683,1.91847,1.39152,0.00140495,0.00140495,0.00140495
19,283.848,1.04481,0.94205,1.26786,0.82132,0.94048,0.90065,0.68714,1.01747,0.99174,1.2249,0.00140354,0.00140354,0.00140354
20,298.415,1.02995,0.95548,1.26742,0.90006,0.89286,0.91739,0.6875,1.12465,0.99794,1.25493,0.00140212,0.00140212,0.00140212
21,312.946,1.03945,0.92681,1.25636,0.89373,0.95238,0.93232,0.66949,1.21653,0.73148,1.23348,0.00140071,0.00140071,0.00140071
22,327.428,0.98805,0.87852,1.22127,0.73973,0.937,0.83173,0.65184,0.95348,0.9786,1.1487,0.00139929,0.00139929,0.00139929
23,341.898,1.02287,0.92601,1.25455,0.7051,0.8195,0.79948,0.62492,1.03924,1.02479,1.14691,0.00139788,0.00139788,0.00139788
24,356.354,0.9972,0.91969,1.24371,0.85396,0.90555,0.93604,0.72696,0.91604,0.70467,1.11397,0.00139646,0.00139646,0.00139646
25,370.878,0.96429,0.89271,1.22899,0.84227,0.94048,0.9212,0.72178,0.86772,0.56582,1.0916,0.00139505,0.00139505,0.00139505
26,385.377,0.99578,0.88397,1.21808,0.8651,0.88095,0.90499,0.70387,0.95594,0.6356,1.09756,0.00139363,0.00139363,0.00139363
27,399.848,0.96423,0.86198,1.20422,0.8234,0.9076,0.877,0.69353,1.04811,1.07046,1.21368,0.00139222,0.00139222,0.00139222
28,414.348,0.96741,0.84076,1.21266,0.91145,0.92642,0.94021,0.69054,1.0653,0.84268,1.25026,0.0013908,0.0013908,0.0013908
29,428.797,0.9357,0.86261,1.18018,0.81272,0.95188,0.87767,0.706,0.9655,0.87245,1.16282,0.00138939,0.00138939,0.00138939
30,443.265,0.96546,0.85208,1.21775,0.816,0.94048,0.8834,0.68548,1.11162,0.78757,1.18766,0.00138797,0.00138797,0.00138797
31,457.718,0.94455,0.82653,1.17851,0.80557,0.79071,0.80105,0.64522,0.97767,0.62738,1.13025,0.00138656,0.00138656,0.00138656
32,472.166,0.94192,0.84587,1.20823,0.87962,0.84524,0.87358,0.72464,1.00954,0.78023,1.23846,0.00138514,0.00138514,0.00138514
33,486.651,0.93772,0.82826,1.18757,0.82893,0.92833,0.92488,0.69017,0.92859,0.96864,1.1337,0.00138373,0.00138373,0.00138373
34,501.16,0.92645,0.8243,1.17449,0.9155,0.91658,0.9383,0.73571,0.90273,0.54576,1.09517,0.00138231,0.00138231,0.00138231
35,515.677,0.91571,0.80388,1.1814,0.89309,0.90476,0.91712,0.72418,0.94152,0.65291,1.09475,0.0013809,0.0013809,0.0013809
36,530.132,0.87573,0.77279,1.15006,0.87385,0.92578,0.94752,0.73115,0.93145,0.79864,1.09877,0.00137949,0.00137949,0.00137949
