epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28.6605,0.9331,1.27219,1.17152,0.52875,0.9,0.68128,0.48249,1.22613,2.62651,1.44252,0.001371,0.001371,0.001371
43,29.3209,0.92279,0.96778,1.0471,0.65034,0.75201,0.71125,0.53438,1.26244,2.42335,1.43086,0.00136958,0.00136958,0.00136958
44,29.9896,1.10777,1.21591,1.17535,0.59631,0.76103,0.69821,0.50427,1.39411,4.21254,1.62813,0.00136817,0.00136817,0.00136817
45,30.6593,1.09336,1.26058,1.21931,0.59631,0.76103,0.69821,0.50427,1.39411,4.21254,1.62813,0.00136675,0.00136675,0.00136675
46,31.3248,0.87256,1.18743,1.12576,0.5042,0.65594,0.61256,0.36736,1.55422,3.90446,1.64552,0.00136534,0.00136534,0.00136534
47,31.989,1.18275,1.29864,1.19943,0.48425,0.4363,0.52882,0.35599,1.54633,3.03043,1.64818,0.00136392,0.00136392,0.00136392
48,32.6496,0.93819,1.16954,1.15017,0.53962,0.49865,0.61013,0.42163,1.41492,2.33586,1.5299,0.00136251,0.00136251,0.00136251
49,33.3119,1.06771,1.20269,1.22997,0.53962,0.49865,0.61013,0.42163,1.41492,2.33586,1.5299,0.00136109,0.00136109,0.00136109
50,33.9878,0.86038,1.14948,1.09779,0.48553,0.5407,0.62392,0.46753,1.2549,2.08003,1.3274,0.00135968,0.00135968,0.00135968
51,34.6513,1.06526,1.03607,1.09922,0.91838,0.46868,0.66048,0.50787,1.16093,1.82179,1.28661,0.00135826,0.00135826,0.00135826
52,35.4601,1.084,1.18521,1.11564,0.77328,0.57708,0.70899,0.53902,1.04672,1.57133,1.22566,0.00135685,0.00135685,0.00135685
53,36.1215,1.05204,1.45992,1.30659,0.77328,0.57708,0.70899,0.53902,1.04672,1.57133,1.22566,0.00135544,0.00135544,0.00135544
54,36.79,1.31986,1.88261,1.49174,0.69963,0.60395,0.71606,0.46787,1.18016,1.74955,1.30691,0.00135402,0.00135402,0.00135402
55,37.4379,1.01756,1.20267,1.17507,0.84729,0.43333,0.65307,0.41653,1.18834,2.04894,1.32189,0.00135261,0.00135261,0.00135261
56,38.1164,1.23427,1.87375,1.30672,0.53594,0.73153,0.73895,0.49652,1.13146,1.98042,1.30182,0.00135119,0.00135119,0.00135119
57,38.7544,1.09179,1.08655,1.18148,0.53594,0.73153,0.73895,0.49652,1.13146,1.98042,1.30182,0.00134978,0.00134978,0.00134978
58,39.399,1.0974,1.24112,1.16534,0.80168,0.69881,0.8196,0.58277,0.99255,1.48974,1.20415,0.00134836,0.00134836,0.00134836
59,40.0772,0.85859,1.0347,1.05896,0.59035,0.75349,0.75167,0.5785,0.99838,1.19916,1.19022,0.00134695,0.00134695,0.00134695
60,40.7465,1.38777,1.88581,1.34213,0.61041,0.5981,0.75684,0.56541,1.02182,1.19497,1.1936,0.00134553,0.00134553,0.00134553
61,41.3863,0.84998,0.97217,1.08156,0.61041,0.5981,0.75684,0.56541,1.02182,1.19497,1.1936,0.00134412,0.00134412,0.00134412
62,42.0592,0.86548,1.05475,1.10074,0.6677,0.79443,0.8113,0.5845,1.00834,1.11552,1.19187,0.0013427,0.0013427,0.0013427
