epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.507,1.71818,3.62452,1.93215,0.00443,0.4,0.01877,0.0044,1.62272,3.56307,2.08687,2.858e-05,2.858e-05,2.858e-05
2,2.23796,1.67301,3.67991,1.85602,0.00411,0.36667,0.01928,0.00523,1.54566,3.53709,2.00021,7.14429e-05,7.14429e-05,7.14429e-05
3,3.03501,1.63274,3.77086,1.73449,0.00538,0.46667,0.08538,0.0553,1.17045,3.45227,1.57757,0.000114297,0.000114297,0.000114297
4,3.80784,1.31265,3.37478,1.45655,0.00729,0.63333,0.2832,0.20503,1.12742,3.17781,1.36191,0.000157143,0.000157143,0.000157143
5,4.57327,1.14226,2.79696,1.3629,0.01079,0.83333,0.3512,0.27438,1.07944,2.8815,1.24064,0.000199981,0.000199981,0.000199981
6,5.33291,1.80771,2.57483,1.68534,0.01217,0.9,0.44796,0.34637,1.04765,2.66333,1.15136,0.00024281,0.00024281,0.00024281
7,6.09206,1.17284,1.98067,1.28337,0.01205,0.93333,0.54439,0.4267,1.03838,2.60666,1.11665,0.00028563,0.00028563,0.00028563
8,6.82602,1.38098,1.88981,1.36485,0.01214,0.93333,0.62375,0.47456,1.07982,2.6066,1.1396,0.000328442,0.000328442,0.000328442
9,7.58728,1.13616,1.63996,1.21195,0.01226,0.93333,0.68013,0.49889,1.19669,2.64125,1.24303,0.000371246,0.000371246,0.000371246
10,8.33271,1.12215,1.75928,1.31792,0.01217,0.93333,0.70291,0.52118,1.20106,2.68061,1.25818,0.000414041,0.000414041,0.000414041
11,9.09392,1.12471,1.7243,1.24346,1,0.06528,0.68267,0.49857,1.24769,2.62377,1.3194,0.000456827,0.000456827,0.000456827
12,9.81068,1.25033,1.65724,1.32601,1,0.1933,0.66622,0.50367,1.19223,2.56769,1.29889,0.000499605,0.000499605,0.000499605
13,10.543,1.1581,1.51698,1.27613,1,0.27688,0.64863,0.46266,1.20932,2.48926,1.30604,0.000542375,0.000542375,0.000542375
14,11.2605,1.07399,1.49992,1.21579,0.98013,0.3,0.67612,0.49069,1.2058,2.35524,1.3148,0.000585136,0.000585136,0.000585136
15,12.016,1.19242,1.50766,1.35395,0.97948,0.46712,0.71773,0.53934,1.22523,2.25705,1.30956,0.000627889,0.000627889,0.000627889
16,12.7533,1.16321,1.81497,1.27848,1,0.39865,0.68788,0.51478,1.20689,2.42307,1.28018,0.000670633,0.000670633,0.000670633
17,13.473,1.11995,1.57773,1.29096,1,0.14956,0.43641,0.28446,1.1762,2.88781,1.31502,0.000713368,0.000713368,0.000713368
18,14.1893,1.62408,2.20347,1.7396,0.00741,0.73333,0.32008,0.1698,1.33317,3.10104,1.50083,0.000756095,0.000756095,0.000756095
19,14.9074,1.12853,1.75578,1.31622,0.92381,0.06667,0.36453,0.19979,1.29588,3.03116,1.51491,0.000798814,0.000798814,0.000798814
20,15.6329,1.19504,1.75391,1.28288,0.92621,0.22122,0.50221,0.33912,1.18805,2.73674,1.45733,0.000841524,0.000841524,0.000841524
21,16.3571,1.20487,1.56854,1.32609,0.98761,0.33582,0.55227,0.37627,1.17865,2.6113,1.41044,0.000884226,0.000884226,0.000884226
22,17.0827,1.40137,1.98991,1.31053,0.92916,0.32167,0.59324,0.41198,1.21579,2.57685,1.37493,0.000926919,0.000926919,0.000926919
23,17.8003,1.51713,1.73256,1.51054,0.92309,0.38819,0.59099,0.39867,1.32076,2.47375,1.40996,0.000969604,0.000969604,0.000969604
24,18.5201,1.14301,1.38847,1.22153,0.85469,0.32044,0.60804,0.42079,1.32809,2.41033,1.41019,0.00101228,0.00101228,0.00101228
25,19.2469,1.08474,1.5825,1.22364,0.69659,0.25632,0.5267,0.38434,1.31096,2.55865,1.43628,0.00105495,0.00105495,0.00105495
26,19.9651,1.10586,1.39741,1.287,0.63022,0.20883,0.45292,0.32198,1.35635,2.65647,1.52625,0.00109761,0.00109761,0.00109761
27,20.6877,1.10884,1.40829,1.24446,0.68492,0.33065,0.37351,0.28062,1.31523,2.61034,1.46088,0.00114026,0.00114026,0.00114026
28,21.3602,1.07355,1.61566,1.30725,0.68256,0.26919,0.36409,0.26366,1.34717,2.61845,1.53145,0.0011829,0.0011829,0.0011829
29,22.0486,1.0013,1.3496,1.18849,0.68256,0.26919,0.36409,0.26366,1.34717,2.61845,1.53145,0.00122553,0.00122553,0.00122553
30,22.717,1.27693,1.62411,1.34706,0.4439,0.50239,0.35843,0.24857,1.50571,2.57603,1.71567,0.00126816,0.00126816,0.00126816
